,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,crdy,fls,fld,crs,int,tklw,team
4,2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,1,3,lu Luxembourg,,,56.0,7427.0,Jóhann Berg Guðmundsson,4-4-2,Goga Kikacheishvili,Match Report,,12.0,4.0,4.0,17.0,8.0,16.0,5.0,14.0,iceland
5,2023-09-11,18:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,1,0,ba Bosnia & Herz'na,,,41.0,5229.0,Jóhann Berg Guðmundsson,4-3-3,Lawrence Visser,Match Report,,7.0,2.0,1.0,11.0,10.0,18.0,6.0,4.0,iceland
6,2023-10-13,18:45,UEFA Euro Qualifying,Group stage,Fri,Home,D,1,1,lu Luxembourg,,,59.0,4568.0,Sverrir Ingi Ingason,4-4-2,Sebastian Gishamer,Match Report,,17.0,3.0,2.0,20.0,14.0,19.0,9.0,12.0,iceland
7,2023-10-16,18:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,4,0,li Liechtenstein,,,71.0,4317.0,Sverrir Ingi Ingason,4-3-3,Abdulkadir Bitigen,Match Report,,14.0,9.0,1.0,10.0,6.0,29.0,8.0,5.0,iceland
8,2023-11-16,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,2,4,sk Slovakia,,,43.0,21548.0,Jóhann Berg Guðmundsson,4-3-3,Craig Pawson,Match Report,,5.0,2.0,0.0,14.0,7.0,6.0,8.0,7.0,iceland
9,2023-11-19,19:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,2,pt Portugal,,,26.0,45655.0,Jóhann Berg Guðmundsson,4-3-3,Anastasios Papapetrou,Match Report,,9.0,4.0,4.0,7.0,9.0,8.0,12.0,8.0,iceland
10,2024-03-21,21:45,UEFA Euro Qualifying,Semi-finals,Thu,Away,W,4,1,il Israel,,,44.0,,Albert Guðmundsson,4-4-2,Anthony Taylor,Match Report,,15.0,9.0,0.0,13.0,11.0,11.0,11.0,10.0,iceland
11,2024-03-26,20:45,UEFA Euro Qualifying,Finals,Tue,Away,L,1,2,ua Ukraine,,,40.0,,Jóhann Berg Guðmundsson,4-4-2,Clément Turpin,Match Report,,6.0,3.0,3.0,12.0,7.0,12.0,10.0,7.0,iceland
12,2024-06-07,19:45,Friendlies (M),Friendlies (M),Fri,Away,W,1,0,eng England,,,,81410.0,Jóhann Berg Guðmundsson,4-2-3-1,Davide Massa,Match Report,,,,3.0,,,,,,iceland
13,2024-06-10,20:45,Friendlies (M),Friendlies (M),Mon,Away,L,0,4,nl Netherlands,,,,,Jóhann Berg Guðmundsson,4-2-3-1,Evangelos Manouchos,Match Report,,,,0.0,,,,,,iceland
0,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3,0,is Iceland,,,37.0,9234.0,Ibrahim Šehić,3-5-2,Donatas Rumšas,Match Report,,13.0,7.0,2.0,12.0,9.0,15.0,11.0,8.0,bosnia and herzegovina
1,2023-03-26,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,2,sk Slovakia,,,55.0,6052.0,Ibrahim Šehić,5-3-2,Marco Di Bello,Match Report,,6.0,1.0,0.0,14.0,14.0,16.0,9.0,13.0,bosnia and herzegovina
2,2023-06-17,19:45,UEFA Euro Qualifying,Group stage,Sat,Away,L,0,3,pt Portugal,,,38.0,55058.0,Edin Džeko,5-3-2,Davide Massa,Match Report,,6.0,3.0,2.0,10.0,5.0,6.0,9.0,11.0,bosnia and herzegovina
3,2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,0,2,lu Luxembourg,,,67.0,8600.0,Edin Džeko,3-5-2,Gal Leibovitz,Match Report,,10.0,3.0,1.0,11.0,15.0,16.0,10.0,7.0,bosnia and herzegovina
4,2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2,1,li Liechtenstein,,,76.0,6189.0,Edin Džeko,3-5-2,Sayat Karabaev,Match Report,,9.0,4.0,2.0,15.0,14.0,25.0,4.0,10.0,bosnia and herzegovina
5,2023-09-11,18:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0,1,is Iceland,,,59.0,5229.0,Edin Džeko,3-5-2,Lawrence Visser,Match Report,,16.0,4.0,2.0,10.0,11.0,22.0,8.0,9.0,bosnia and herzegovina
6,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,2,0,li Liechtenstein,,,74.0,5874.0,Edin Džeko,4-2-3-1,Damian Sylwestrzak,Match Report,,30.0,13.0,0.0,10.0,8.0,37.0,4.0,9.0,bosnia and herzegovina
7,2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,L,0,5,pt Portugal,,,32.0,13047.0,Edin Džeko,4-4-1-1,Halil Umut Meler,Match Report,,3.0,0.0,2.0,7.0,8.0,11.0,7.0,7.0,bosnia and herzegovina
8,2023-11-16,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,1,4,lu Luxembourg,,,46.0,8520.0,Rade Krunić,4-2-3-1,Andris Treimanis,Match Report,,8.0,3.0,6.0,23.0,13.0,13.0,11.0,14.0,bosnia and herzegovina
9,2023-11-19,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,L,1,2,sk Slovakia,,,44.0,3800.0,Gojko Cimirot,4-3-3,Julian Weinberger,Match Report,,5.0,2.0,4.0,16.0,14.0,9.0,9.0,12.0,bosnia and herzegovina
10,2024-03-21,20:45,UEFA Euro Qualifying,Semi-finals,Thu,Home,L,1,2,ua Ukraine,,,34.0,,Edin Džeko,3-4-1-2,Felix Zwayer,Match Report,,7.0,2.0,4.0,14.0,19.0,9.0,7.0,8.0,bosnia and herzegovina
11,2024-06-03,19:45,Friendlies (M),Friendlies (M),Mon,Away,L,0,3,eng England,,,,50061.0,Ermedin Demirović,5-4-1,Rohit Saggi,Match Report,,,,2.0,,,,,,bosnia and herzegovina
