,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,crdy,fls,fld,crs,int,tklw,team
4,2023-09-09,19:00,UEFA Euro Qualifying,Group stage,Sat,Away,D,1.0,1.0,ua Ukraine,,,68.0,39000.0,Harry Kane,4-3-3,Georgi Kabakov,Match Report,,11.0,4.0,2.0,7.0,11.0,20.0,6.0,6.0,england
5,2023-10-17,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3.0,1.0,it Italy,,,51.0,83194.0,Harry Kane,4-2-3-1,Clément Turpin,Match Report,,9.0,6.0,1.0,8.0,15.0,7.0,12.0,6.0,england
6,2023-11-17,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2.0,0.0,mt Malta,,,75.0,81388.0,Harry Kane,4-3-3,Luís Godinho,Match Report,,11.0,3.0,2.0,5.0,12.0,11.0,8.0,6.0,england
7,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,1.0,1.0,mk N. Macedonia,,,75.0,27982.0,Kyle Walker,4-2-3-1,Filip Glova,Match Report,,16.0,2.0,2.0,15.0,16.0,21.0,4.0,7.0,england
8,2024-03-23,19:00,Friendlies (M),Friendlies (M),Sat,Home,L,0.0,1.0,br Brazil,,,,83674.0,Kyle Walker,4-2-3-1,Artur Dias,Match Report,,,,1.0,,,,,,england
9,2024-03-26,19:45,Friendlies (M),Friendlies (M),Tue,Home,D,2.0,2.0,be Belgium,,,,80733.0,Declan Rice,4-2-3-1,Sebastian Gishamer,Match Report,,,,2.0,,,,,,england
10,2024-06-03,19:45,Friendlies (M),Friendlies (M),Mon,Home,W,3.0,0.0,ba Bosnia & Herz'na,,,,50061.0,Kieran Trippier,4-2-3-1,Rohit Saggi,Match Report,,,,2.0,,,,,,england
11,2024-06-07,19:45,Friendlies (M),Friendlies (M),Fri,Home,L,0.0,1.0,is Iceland,,,,81410.0,Harry Kane,4-2-3-1,Davide Massa,Match Report,,,,0.0,,,,,,england
12,2024-06-16,21:00,UEFA Euro,Group stage,Sun,Away,W,1.0,0.0,rs Serbia,0.5,0.2,53.0,48953.0,Harry Kane,4-2-3-1,Daniele Orsato,Match Report,,5.0,3.0,0.0,8.0,19.0,9.0,8.0,6.0,england
13,2024-06-20,18:00,UEFA Euro,Group stage,Thu,Away,,,,dk Denmark,,,,,,,,Head-to-Head,,,,,,,,,,england
14,2024-06-25,21:00,UEFA Euro,Group stage,Tue,Home,,,,si Slovenia,,,,,,,,Head-to-Head,,,,,,,,,,england
0,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,1.0,2.0,eng England,,,58.0,44536.0,Marco Verratti,4-3-3,Srđan Jovanović,Match Report,,10.0,1.0,3.0,13.0,5.0,26.0,6.0,11.0,italy
1,2023-03-26,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2.0,0.0,mt Malta,,,69.0,16015.0,Gianluigi Donnarumma,4-3-3,Georgi Kabakov,Match Report,,17.0,6.0,2.0,9.0,5.0,23.0,7.0,14.0,italy
2,2023-09-09,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,1.0,1.0,mk N. Macedonia,,,73.0,28126.0,Ciro Immobile,4-3-3,François Letexier,Match Report,,9.0,3.0,3.0,15.0,14.0,21.0,7.0,10.0,italy
3,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,1.0,ua Ukraine,,,64.0,58386.0,Gianluigi Donnarumma,4-3-3,Alejandro Hernández,Match Report,,22.0,5.0,0.0,5.0,14.0,20.0,5.0,9.0,italy
4,2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,4.0,0.0,mt Malta,,,67.0,56186.0,Gianluigi Donnarumma,4-3-3,Duje Strukan,Match Report,,18.0,4.0,0.0,13.0,12.0,24.0,3.0,7.0,italy
5,2023-10-17,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1.0,3.0,eng England,,,49.0,83194.0,Gianluigi Donnarumma,4-3-3,Clément Turpin,Match Report,,15.0,4.0,3.0,15.0,7.0,7.0,8.0,12.0,italy
6,2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,5.0,2.0,mk N. Macedonia,,,64.0,56364.0,Gianluigi Donnarumma,4-3-3,Felix Zwayer,Match Report,,20.0,11.0,2.0,13.0,16.0,14.0,5.0,10.0,italy
7,2023-11-20,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,0.0,0.0,ua Ukraine,,,59.0,26403.0,Gianluigi Donnarumma,4-3-3,Jesús Gil,Match Report,,17.0,2.0,1.0,9.0,14.0,21.0,7.0,7.0,italy
8,2024-03-21,17:00,Friendlies (M),Friendlies (M),Thu,Neutral,W,2.0,1.0,ve Venezuela,,,,,Gianluigi Donnarumma,3-4-3,Rubiel Vázquez,Match Report,,,,0.0,,,,,,italy
9,2024-03-24,16:00,Friendlies (M),Friendlies (M),Sun,Neutral,W,2.0,0.0,ec Ecuador,,,,,Nicolò Barella,3-4-3,Jon Freemon,Match Report,,,,4.0,,,,,,italy
10,2024-06-04,21:00,Friendlies (M),Friendlies (M),Tue,Home,D,0.0,0.0,tr Türkiye,,,,25012.0,Jorginho,4-1-4-1,Sebastian Gishamer,Match Report,,,,2.0,,,,,,italy
11,2024-06-09,20:45,Friendlies (M),Friendlies (M),Sun,Home,W,1.0,0.0,ba Bosnia & Herz'na,,,,,Gianluigi Donnarumma,3-4-3,Chrysovalantis Theouli,Match Report,,,,0.0,,,,,,italy
12,2024-06-15,21:00,UEFA Euro,Group stage,Sat,Home,W,2.0,1.0,al Albania,1.5,0.5,68.0,60512.0,Gianluigi Donnarumma,4-3-3,Felix Zwayer,Match Report,,17.0,5.0,2.0,7.0,7.0,15.0,15.0,5.0,italy
13,2024-06-20,21:00,UEFA Euro,Group stage,Thu,Away,,,,es Spain,,,,,,,,Head-to-Head,,,,,,,,,,italy
14,2024-06-24,21:00,UEFA Euro,Group stage,Mon,Away,,,,hr Croatia,,,,,,,,Head-to-Head,,,,,,,,,,italy
0,2023-03-26,17:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,0.0,2.0,eng England,,,42.0,83947.0,Oleksandr Zinchenko,4-2-3-1,Serdar Gözübüyük,Match Report,,3.0,0.0,1.0,12.0,9.0,2.0,10.0,8.0,ukraine
1,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,2.0,mk N. Macedonia,,,52.0,14370.0,Andriy Yarmolenko,4-4-2,Lukas Fähndrich,Match Report,,6.0,3.0,2.0,23.0,8.0,11.0,6.0,11.0,ukraine
2,2023-06-19,18:00,UEFA Euro Qualifying,Group stage,Mon,Home,W,1.0,0.0,mt Malta,,,64.0,7543.0,Andriy Yarmolenko,4-2-3-1,Ruddy Buquet,Match Report,,19.0,8.0,2.0,6.0,13.0,25.0,5.0,7.0,ukraine
3,2023-09-09,19:00,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,eng England,,,32.0,39000.0,Taras Stepanenko,4-2-3-1,Georgi Kabakov,Match Report,,2.0,1.0,2.0,11.0,7.0,5.0,5.0,7.0,ukraine
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1.0,2.0,it Italy,,,36.0,58386.0,Andriy Yarmolenko,4-2-3-1,Alejandro Hernández,Match Report,,9.0,3.0,4.0,14.0,5.0,5.0,7.0,10.0,ukraine
5,2023-10-14,16:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,2.0,0.0,mk N. Macedonia,,,45.0,12939.0,Taras Stepanenko,4-2-3-1,Slavko Vinčič,Match Report,,18.0,7.0,2.0,12.0,4.0,16.0,9.0,9.0,ukraine
6,2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3.0,1.0,mt Malta,,,66.0,3547.0,Oleksandr Zinchenko,4-2-3-1,Morten Krogh,Match Report,,16.0,6.0,2.0,16.0,15.0,9.0,7.0,8.0,ukraine
7,2023-11-20,21:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,0.0,0.0,it Italy,,,42.0,26403.0,Taras Stepanenko,4-1-4-1,Jesús Gil,Match Report,,7.0,4.0,1.0,14.0,8.0,11.0,5.0,8.0,ukraine
8,2024-03-21,20:45,UEFA Euro Qualifying,Semi-finals,Thu,Away,W,2.0,1.0,ba Bosnia & Herz'na,,,66.0,,Oleksandr Zinchenko,4-2-3-1,Felix Zwayer,Match Report,,12.0,4.0,4.0,20.0,12.0,18.0,9.0,10.0,ukraine
9,2024-03-26,20:45,UEFA Euro Qualifying,Finals,Tue,Home,W,2.0,1.0,is Iceland,,,60.0,,Mykola Matviyenko,4-3-3,Clément Turpin,Match Report,,13.0,5.0,2.0,8.0,12.0,22.0,6.0,3.0,ukraine
10,2024-06-03,20:45,Friendlies (M),Friendlies (M),Mon,Away,D,0.0,0.0,de Germany,,,,42789.0,Taras Stepanenko,5-4-1,Walter Altmann,Match Report,,,,0.0,,,,,,ukraine
11,2024-06-07,20:45,Friendlies (M),Friendlies (M),Fri,Away,L,1.0,3.0,pl Poland,,,,47013.0,Andriy Yarmolenko,4-1-4-1,Andy Madley,Match Report,,,,3.0,,,,,,ukraine
12,2024-06-11,19:00,Friendlies (M),Friendlies (M),Tue,Away,W,4.0,0.0,md Moldova,,,,8247.0,Taras Stepanenko,4-2-2-2,Andrei Chivulete,Match Report,,,,2.0,,,,,,ukraine
13,2024-06-17,15:00,UEFA Euro,Group stage,Mon,Away,L,0.0,3.0,ro Romania,0.7,1.1,70.0,61591.0,Taras Stepanenko,4-2-3-1,Glenn Nyberg,Match Report,,13.0,2.0,1.0,8.0,9.0,23.0,5.0,11.0,ukraine
14,2024-06-21,15:00,UEFA Euro,Group stage,Fri,Away,,,,sk Slovakia,,,,,,,,Head-to-Head,,,,,,,,,,ukraine
15,2024-06-26,18:00,UEFA Euro,Group stage,Wed,Home,,,,be Belgium,,,,,,,,Head-to-Head,,,,,,,,,,ukraine
0,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2,1,mt Malta,,,60.0,9997.0,Stefan Ristovski,3-4-1-2,Kristo Tohver,Match Report,,18.0,4.0,4.0,9.0,12.0,25.0,10.0,12.0,north macedonia
1,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,2,3,ua Ukraine,,,49.0,14370.0,Stefan Ristovski,3-4-1-2,Lukas Fähndrich,Match Report,,12.0,5.0,4.0,9.0,21.0,16.0,4.0,3.0,north macedonia
2,2023-06-19,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0,7,eng England,,,33.0,70708.0,Stefan Ristovski,5-3-2,István Kovács,Match Report,,0.0,0.0,1.0,8.0,13.0,2.0,6.0,12.0,north macedonia
3,2023-09-09,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1,1,it Italy,,,28.0,28126.0,Enis Bardhi,3-4-1-2,François Letexier,Match Report,,10.0,3.0,2.0,14.0,14.0,8.0,14.0,9.0,north macedonia
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,2,0,mt Malta,,,47.0,3158.0,Enis Bardhi,3-4-1-2,Henrik Nalbandyan,Match Report,,8.0,4.0,2.0,12.0,14.0,4.0,4.0,3.0,north macedonia
5,2023-10-14,16:00,UEFA Euro Qualifying,Group stage,Sat,Away,L,0,2,ua Ukraine,,,55.0,12939.0,Enis Bardhi,3-4-1-2,Slavko Vinčič,Match Report,,14.0,5.0,2.0,4.0,12.0,14.0,4.0,10.0,north macedonia
6,2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,2,5,it Italy,,,36.0,56364.0,Enis Bardhi,3-4-3,Felix Zwayer,Match Report,,4.0,2.0,4.0,18.0,12.0,5.0,10.0,8.0,north macedonia
7,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,1,1,eng England,,,25.0,27982.0,Enis Bardhi,3-5-2,Filip Glova,Match Report,,5.0,3.0,1.0,16.0,15.0,5.0,9.0,9.0,north macedonia
8,2024-03-22,15:30,Friendlies (M),Friendlies (M),Fri,Neutral,D,1,1,md Moldova,,,,,Enis Bardhi,3-1-4-2,Damian Kos,Match Report,,,,2.0,,,,,,north macedonia
9,2024-03-25,18:00,Friendlies (M),Friendlies (M),Mon,Neutral,L,0,1,me Montenegro,,,,250.0,Enis Bardhi,3-1-4-2,Zorbay Küçük,Match Report,,,,1.0,,,,,,north macedonia
10,2024-06-03,19:00,Friendlies (M),Friendlies (M),Mon,Away,L,0,3,hr Croatia,,,,8030.0,Stole Dimitrievski,3-5-2,Matej Jug,Match Report,,,,0.0,,,,,,north macedonia
11,2024-06-10,18:00,Friendlies (M),Friendlies (M),Mon,Away,L,1,2,cz Czechia,,,,8864.0,Stole Dimitrievski,5-3-2,Michal Očenáš,Match Report,,,,2.0,,,,,,north macedonia
0,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,1.0,2.0,mk N. Macedonia,,,41.0,9997.0,Steve Borg,5-3-2,Kristo Tohver,Match Report,,7.0,2.0,4.0,13.0,8.0,4.0,8.0,9.0,malta
1,2023-03-26,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,L,0.0,2.0,it Italy,,,31.0,16015.0,Steve Borg,3-5-2,Georgi Kabakov,Match Report,,8.0,2.0,0.0,5.0,9.0,9.0,12.0,15.0,malta
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,0.0,4.0,eng England,,,34.0,16277.0,Steve Borg,3-5-2,Igor Pajač,Match Report,,0.0,0.0,1.0,10.0,9.0,1.0,12.0,9.0,malta
3,2023-06-19,18:00,UEFA Euro Qualifying,Group stage,Mon,Away,L,0.0,1.0,ua Ukraine,,,36.0,7543.0,Steve Borg,3-5-2,Ruddy Buquet,Match Report,,4.0,2.0,2.0,14.0,5.0,13.0,9.0,4.0,malta
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,0.0,2.0,mk N. Macedonia,,,53.0,3158.0,Steve Borg,3-4-3,Henrik Nalbandyan,Match Report,,9.0,2.0,3.0,14.0,12.0,21.0,11.0,2.0,malta
5,2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,L,0.0,4.0,it Italy,,,33.0,56186.0,Matthew Guillaumier,5-3-2,Duje Strukan,Match Report,,2.0,0.0,3.0,12.0,12.0,7.0,12.0,11.0,malta
6,2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,1.0,3.0,ua Ukraine,,,34.0,3547.0,Steve Borg,5-3-2,Morten Krogh,Match Report,,17.0,4.0,1.0,15.0,15.0,10.0,13.0,11.0,malta
7,2023-11-17,19:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,0.0,2.0,eng England,,,25.0,81388.0,Steve Borg,5-3-2,Luís Godinho,Match Report,,4.0,0.0,2.0,12.0,4.0,7.0,5.0,8.0,malta
8,2024-03-21,19:00,Friendlies (M),Friendlies (M),Thu,Home,D,2.0,2.0,si Slovenia,,,,1652.0,Steve Borg,3-5-2,Sandi Putros,Match Report,,,,5.0,,,,,,malta
9,2024-03-26,19:00,Friendlies (M),Friendlies (M),Tue,Home,D,0.0,0.0,by Belarus,,,,,Matthew Guillaumier,3-5-2,Martin Dohál,Match Report,,,,2.0,,,,,,malta
10,2024-06-07,17:30,Friendlies (M),Friendlies (M),Fri,Neutral,L,1.0,7.0,cz Czechia,,,,,Steve Borg,5-3-2,Stefan Ebner,Match Report,,,,2.0,,,,,,malta
11,2024-06-11,18:00,Friendlies (M),Friendlies (M),Tue,Neutral,L,0.0,2.0,gr Greece,,,,500.0,Matthew Guillaumier,3-5-2,Alan Kijas,Match Report,,,,0.0,,,,,,malta
12,2024-11-14,,Friendlies (M),Friendlies (M),Thu,Home,,,,li Liechtenstein,,,,,,,,Head-to-Head,,,,,,,,,,malta
0,2023-03-25,21:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,1.0,am Armenia,,,59.0,14125.0,Hakan Çalhanoğlu,3-4-3,José Sánchez,Match Report,,12.0,4.0,4.0,15.0,22.0,11.0,9.0,9.0,turkiye
1,2023-03-28,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,0.0,2.0,hr Croatia,,,46.0,37750.0,Hakan Çalhanoğlu,4-2-3-1,Andreas Ekberg,Match Report,,18.0,5.0,0.0,11.0,10.0,26.0,11.0,13.0,turkiye
2,2023-06-16,21:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,2.0,lv Latvia,,,69.0,6287.0,Hakan Çalhanoğlu,4-2-3-1,Tamás Bognár,Match Report,,20.0,7.0,2.0,7.0,13.0,18.0,4.0,6.0,turkiye
3,2023-06-19,21:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,2.0,0.0,wls Wales,,,77.0,28766.0,Hakan Çalhanoğlu,4-3-3,Fabio Maresca,Match Report,,14.0,5.0,4.0,16.0,8.0,27.0,5.0,5.0,turkiye
4,2023-09-08,21:45,UEFA Euro Qualifying,Group stage,Fri,Home,D,1.0,1.0,am Armenia,,,66.0,31740.0,Hakan Çalhanoğlu,4-1-4-1,Daniele Orsato,Match Report,,19.0,8.0,3.0,6.0,10.0,29.0,9.0,14.0,turkiye
5,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,1.0,0.0,hr Croatia,,,37.0,12812.0,Hakan Çalhanoğlu,4-2-3-1,Anthony Taylor,Match Report,,14.0,6.0,5.0,9.0,5.0,8.0,7.0,16.0,turkiye
6,2023-10-15,21:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,4.0,0.0,lv Latvia,,,68.0,35925.0,Hakan Çalhanoğlu,4-1-4-1,Enea Jorgji,Match Report,,18.0,8.0,4.0,9.0,12.0,37.0,7.0,5.0,turkiye
7,2023-11-21,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,1.0,1.0,wls Wales,,,61.0,32291.0,Uğurcan Çakır,4-1-4-1,Matej Jug,Match Report,,9.0,2.0,5.0,17.0,10.0,19.0,5.0,9.0,turkiye
8,2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Away,L,0.0,1.0,hu Hungary,,,,58000.0,Hakan Çalhanoğlu,4-2-3-1,Bartosz Frankowski,Match Report,,,,2.0,,,,,,turkiye
9,2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Away,L,1.0,6.0,at Austria,,,,38500.0,Hakan Çalhanoğlu,4-2-3-1,Daniele Chiffi,Match Report,,,,3.0,,,,,,turkiye
10,2024-06-04,21:00,Friendlies (M),Friendlies (M),Tue,Away,D,0.0,0.0,it Italy,,,,25012.0,Hakan Çalhanoğlu,4-2-3-1,Sebastian Gishamer,Match Report,,,,0.0,,,,,,turkiye
11,2024-06-10,20:45,Friendlies (M),Friendlies (M),Mon,Away,L,1.0,2.0,pl Poland,,,,48677.0,Hakan Çalhanoğlu,4-2-3-1,Balázs Berke,Match Report,,,,2.0,,,,,,turkiye
12,2024-06-18,18:00,UEFA Euro,Group stage,Tue,Home,W,3.0,1.0,ge Georgia,3.0,1.4,56.0,59127.0,Hakan Çalhanoğlu,4-2-3-1,Facundo Tello,Match Report,,22.0,8.0,2.0,10.0,7.0,17.0,6.0,15.0,turkiye
13,2024-06-22,18:00,UEFA Euro,Group stage,Sat,Home,,,,pt Portugal,,,,,,,,Head-to-Head,,,,,,,,,,turkiye
14,2024-06-26,21:00,UEFA Euro,Group stage,Wed,Away,,,,cz Czechia,,,,,,,,Head-to-Head,,,,,,,,,,turkiye
0,2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,wls Wales,,,67.0,33474.0,Luka Modrić,4-3-3,João Pinheiro,Match Report,,19.0,8.0,1.0,11.0,9.0,26.0,9.0,5.0,croatia
1,2023-03-28,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,2.0,0.0,tr Türkiye,,,54.0,37750.0,Luka Modrić,4-3-3,Andreas Ekberg,Match Report,,9.0,5.0,2.0,10.0,11.0,9.0,12.0,11.0,croatia
2,2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,5.0,0.0,lv Latvia,,,75.0,8152.0,Luka Modrić,4-2-3-1,Philip Farrugia,Match Report,,28.0,14.0,0.0,10.0,6.0,29.0,5.0,6.0,croatia
3,2023-09-11,20:00,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,am Armenia,,,68.0,14233.0,Luka Modrić,4-3-3,Clément Turpin,Match Report,,26.0,8.0,2.0,7.0,7.0,21.0,8.0,7.0,croatia
4,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,0.0,1.0,tr Türkiye,,,63.0,12812.0,Luka Modrić,4-3-3,Anthony Taylor,Match Report,,17.0,6.0,4.0,5.0,8.0,22.0,8.0,7.0,croatia
5,2023-10-15,19:45,UEFA Euro Qualifying,Group stage,Sun,Away,L,1.0,2.0,wls Wales,,,72.0,31240.0,Luka Modrić,4-3-3,Davide Massa,Match Report,,10.0,3.0,2.0,9.0,10.0,24.0,5.0,9.0,croatia
6,2023-11-18,19:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,0.0,lv Latvia,,,69.0,6747.0,Luka Modrić,4-2-3-1,Urs Schnyder,Match Report,,14.0,6.0,0.0,9.0,10.0,11.0,9.0,8.0,croatia
7,2023-11-21,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,1.0,0.0,am Armenia,,,67.0,20398.0,Luka Modrić,4-3-3,Ivan Kružliak,Match Report,,21.0,11.0,0.0,6.0,8.0,38.0,12.0,13.0,croatia
8,2024-06-03,19:00,Friendlies (M),Friendlies (M),Mon,Home,W,3.0,0.0,mk N. Macedonia,,,,8030.0,Mateo Kovačić,4-2-3-1,Matej Jug,Match Report,,,,0.0,,,,,,croatia
9,2024-06-08,17:45,Friendlies (M),Friendlies (M),Sat,Away,W,2.0,1.0,pt Portugal,,,,,Luka Modrić,4-1-4-1,Harm Osmers,Match Report,,,,3.0,,,,,,croatia
10,2024-06-15,18:00,UEFA Euro,Group stage,Sat,Away,L,0.0,3.0,es Spain,2.1,2.0,54.0,68844.0,Luka Modrić,4-3-3,Michael Oliver,Match Report,,15.0,4.0,0.0,13.0,13.0,14.0,9.0,10.0,croatia
11,2024-06-19,15:00,UEFA Euro,Group stage,Wed,Home,D,2.0,2.0,al Albania,2.6,1.4,67.0,46784.0,Luka Modrić,4-3-3,François Letexier,Match Report,,22.0,9.0,1.0,15.0,11.0,29.0,14.0,12.0,croatia
12,2024-06-24,21:00,UEFA Euro,Group stage,Mon,Home,,,,it Italy,,,,,,,,Head-to-Head,,,,,,,,,,croatia
0,2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,1,1,hr Croatia,,,33.0,33474.0,Aaron Ramsey,4-4-1-1,João Pinheiro,Match Report,,4.0,1.0,1.0,9.0,11.0,5.0,9.0,7.0,wales
1,2023-03-28,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,1,0,lv Latvia,,,72.0,32806.0,Aaron Ramsey,3-4-3,Giorgi Kruashvili,Match Report,,15.0,5.0,1.0,10.0,14.0,24.0,4.0,10.0,wales
2,2023-06-16,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,2,4,am Armenia,,,56.0,32774.0,Aaron Ramsey,4-2-3-1,Georgi Kabakov,Match Report,,18.0,5.0,2.0,4.0,8.0,20.0,7.0,18.0,wales
3,2023-06-19,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0,2,tr Türkiye,,,23.0,28766.0,Aaron Ramsey,4-2-3-1,Fabio Maresca,Match Report,,4.0,1.0,1.0,9.0,14.0,7.0,8.0,7.0,wales
4,2023-09-11,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,2,0,lv Latvia,,,58.0,6464.0,Aaron Ramsey,3-4-3,Michal Očenáš,Match Report,,27.0,9.0,2.0,8.0,15.0,21.0,7.0,2.0,wales
5,2023-10-15,19:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,2,1,hr Croatia,,,28.0,31240.0,Ben Davies,3-4-3,Davide Massa,Match Report,,10.0,5.0,1.0,11.0,9.0,13.0,5.0,5.0,wales
6,2023-11-18,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,D,1,1,am Armenia,,,47.0,14271.0,Ben Davies,3-4-3,Benoît Bastien,Match Report,,12.0,4.0,3.0,12.0,10.0,14.0,13.0,8.0,wales
7,2023-11-21,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,D,1,1,tr Türkiye,,,40.0,32291.0,Ben Davies,4-4-2,Matej Jug,Match Report,,10.0,4.0,3.0,11.0,16.0,16.0,9.0,9.0,wales
8,2024-03-21,19:45,UEFA Euro Qualifying,Semi-finals,Thu,Home,W,4,1,fi Finland,,,41.0,,Ben Davies,3-4-3,István Kovács,Match Report,,15.0,10.0,4.0,16.0,10.0,7.0,7.0,10.0,wales
9,2024-03-26,19:45,UEFA Euro Qualifying,Finals,Tue,Home,D,0 (4),0 (5),pl Poland,,,42.0,,Ben Davies,3-4-3,Daniele Orsato,Match Report,Poland won on penalty kicks following extra time,12.0,4.0,3.0,18.0,13.0,16.0,5.0,9.0,wales
10,2024-06-06,17:00,Friendlies (M),Friendlies (M),Thu,Neutral,D,0,0,gi Gibraltar,,,,,Josh Sheehan,3-5-2,Jamie Robinson,Match Report,,,,2.0,,,,,,wales
11,2024-06-09,20:45,Friendlies (M),Friendlies (M),Sun,Away,L,0,4,sk Slovakia,,,,6348.0,Ethan Ampadu,4-2-3-1,Daniel Stefański,Match Report,,,,2.0,,,,,,wales
0,2023-03-25,21:00,UEFA Euro Qualifying,Group stage,Sat,Home,L,1,2,tr Türkiye,,,41.0,14125.0,Varazdat Haroyan,5-4-1,José Sánchez,Match Report,,11.0,4.0,5.0,23.0,13.0,18.0,9.0,9.0,armenia
1,2023-06-16,19:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,4,2,wls Wales,,,44.0,32774.0,Eduard Spertsyan,3-4-3,Georgi Kabakov,Match Report,,11.0,4.0,5.0,8.0,4.0,14.0,13.0,10.0,armenia
2,2023-06-19,20:00,UEFA Euro Qualifying,Group stage,Mon,Home,W,2,1,lv Latvia,,,67.0,13450.0,Varazdat Haroyan,5-4-1,Peter Kráľovič,Match Report,,21.0,6.0,1.0,6.0,13.0,14.0,2.0,6.0,armenia
3,2023-09-08,21:45,UEFA Euro Qualifying,Group stage,Fri,Away,D,1,1,tr Türkiye,,,34.0,31740.0,Varazdat Haroyan,5-4-1,Daniele Orsato,Match Report,,13.0,5.0,3.0,10.0,6.0,7.0,12.0,12.0,armenia
4,2023-09-11,20:00,UEFA Euro Qualifying,Group stage,Mon,Home,L,0,1,hr Croatia,,,32.0,14233.0,Eduard Spertsyan,3-4-3,Clément Turpin,Match Report,,6.0,2.0,0.0,7.0,7.0,11.0,6.0,5.0,armenia
5,2023-10-12,19:00,UEFA Euro Qualifying,Group stage,Thu,Away,L,0,2,lv Latvia,,,65.0,5128.0,Varazdat Haroyan,5-4-1,Rade Obrenović,Match Report,,19.0,2.0,1.0,8.0,9.0,24.0,3.0,9.0,armenia
6,2023-11-18,18:00,UEFA Euro Qualifying,Group stage,Sat,Home,D,1,1,wls Wales,,,53.0,14271.0,Varazdat Haroyan,4-3-3,Benoît Bastien,Match Report,,19.0,2.0,1.0,11.0,11.0,12.0,5.0,10.0,armenia
7,2023-11-21,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,1,hr Croatia,,,33.0,20398.0,Eduard Spertsyan,4-4-2,Ivan Kružliak,Match Report,,6.0,2.0,1.0,10.0,6.0,4.0,12.0,5.0,armenia
